                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9658,                 1.4433,                 1.6552,                0.38969,                0.31012,                0.28592,                0.12463,                 2.2515,                 1.8384,                 1.8054,               0.006535,               0.006535,               0.006535
                     37,                 2.0325,                 1.4748,                 1.6821,                0.50133,                0.31553,                0.34009,                0.16356,                 2.1768,                 1.8242,                 1.7655,               0.006436,               0.006436,               0.006436
                     38,                 1.9669,                 1.4791,                 1.6617,                0.51092,                0.37376,                0.37739,                0.18955,                 1.9331,                   1.67,                 1.7537,               0.006337,               0.006337,               0.006337
                     39,                 1.9871,                 1.4742,                 1.6595,                0.58325,                0.36229,                0.38702,                0.19318,                 1.8633,                 2.0453,                  1.632,               0.006238,               0.006238,               0.006238
                     40,                 2.0354,                 1.5092,                 1.6667,                0.46575,                0.41286,                0.39251,                0.18294,                 1.8444,                 1.6006,                 1.6837,               0.006139,               0.006139,               0.006139
                     41,                 2.0012,                 1.4626,                 1.6575,                0.37798,                0.32602,                0.30089,                0.14606,                 1.8756,                 1.7157,                 1.6445,                0.00604,                0.00604,                0.00604
                     42,                 1.9453,                 1.4254,                 1.6158,                0.44061,                0.36949,                0.35914,                0.17712,                 1.9103,                 1.5916,                 1.6704,               0.005941,               0.005941,               0.005941
                     43,                 1.9566,                 1.4519,                 1.6564,                0.47153,                0.33861,                0.34632,                0.17125,                 1.8792,                 1.6658,                 1.6631,               0.005842,               0.005842,               0.005842
                     44,                 1.8908,                 1.3804,                 1.6283,                0.59648,                0.42939,                0.43702,                0.20169,                 1.9388,                 1.4991,                  1.702,               0.005743,               0.005743,               0.005743
                     45,                 1.9433,                  1.422,                 1.5979,                0.56946,                0.37422,                0.39356,                0.18478,                 2.0164,                 1.7888,                 1.6707,               0.005644,               0.005644,               0.005644
                     46,                 1.9529,                 1.4484,                 1.6174,                0.57247,                0.38557,                 0.4204,                0.20461,                 1.9671,                 1.6889,                 1.6411,               0.005545,               0.005545,               0.005545
                     47,                 1.9418,                 1.4442,                 1.6291,                0.37984,                0.22639,                0.22005,                0.09479,                   2.66,                  2.372,                 1.9365,               0.005446,               0.005446,               0.005446
                     48,                 1.9506,                 1.4171,                 1.6192,                0.55693,                0.39161,                 0.4211,                0.21405,                 1.7639,                 1.6038,                 1.5748,               0.005347,               0.005347,               0.005347
