                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 2.0691,                 1.9483,                 2.1912,                0.23403,                0.42672,                0.26804,                0.10628,                 1.9301,                 2.6946,                 2.1974,               0.008713,               0.008713,               0.008713
                     28,                 2.0733,                 1.9681,                 2.1879,                0.20523,                0.46472,                0.23342,                0.10403,                 1.9153,                 2.5106,                 2.1973,              0.0086635,              0.0086635,              0.0086635
                     29,                 2.0198,                 1.9391,                 2.1193,                0.18849,                0.43171,                0.21928,                0.09772,                 1.9447,                 2.7925,                 2.1582,               0.008614,               0.008614,               0.008614
                     30,                 2.1184,                 2.0069,                 2.1555,                 0.2986,                0.36571,                 0.2367,                0.10493,                 2.0699,                 2.2893,                 2.1591,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.1257,                 1.9565,                 2.1496,                  0.295,                0.47851,                0.29841,                0.13392,                 1.8852,                 2.9023,                 2.0916,               0.008515,               0.008515,               0.008515
                     32,                 2.0395,                 1.9484,                 2.1127,                0.19856,                0.42364,                0.23457,                0.10938,                 1.8621,                 3.4778,                 2.1078,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.9978,                 1.8989,                 2.1453,                0.21417,                0.42891,                 0.2516,                0.11557,                 1.8546,                 2.8298,                 2.0936,               0.008416,               0.008416,               0.008416
                     34,                 1.9847,                  1.943,                 2.1188,                0.35022,                0.36478,                0.30036,                0.13234,                 1.8926,                 2.0394,                 2.1392,              0.0083665,              0.0083665,              0.0083665
                     35,                 2.0257,                 1.9575,                 2.1108,                0.31154,                0.32712,                0.25067,                0.11296,                 1.8782,                 2.1292,                 2.1356,               0.008317,               0.008317,               0.008317
                     36,                 2.0236,                 1.9463,                 2.1138,                0.28401,                0.35658,                0.28685,                0.13517,                 1.8283,                 2.0328,                 2.0689,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.0174,                 1.9328,                 2.1059,                0.52694,                0.30137,                0.34169,                0.16549,                 1.8989,                 1.9558,                 2.1034,               0.008218,               0.008218,               0.008218
                     38,                 1.9862,                 1.8907,                 2.1094,                0.46196,                0.40654,                0.38421,                0.18216,                 1.8287,                 2.2711,                 2.1468,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.9595,                  1.862,                  2.068,                0.35614,                0.40526,                0.34837,                0.15736,                 1.8447,                 2.6518,                 2.1252,               0.008119,               0.008119,               0.008119
                     40,                 1.9699,                 1.9228,                 2.0842,                0.36517,                0.40338,                0.35436,                0.16861,                 1.8571,                 1.9272,                 2.0373,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.0153,                 1.8641,                  2.008,                0.41069,                0.43125,                0.38928,                0.18035,                 1.9026,                 2.0308,                 2.0856,                0.00802,                0.00802,                0.00802
                     42,                 2.0234,                 1.8945,                 2.1271,                0.39679,                 0.3102,                0.30848,                0.14383,                 1.8367,                 2.6381,                 2.0271,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.9531,                 1.8728,                 2.0353,                0.16748,                0.47352,                0.21893,                0.09257,                 1.8648,                 4.2793,                 2.0575,               0.007921,               0.007921,               0.007921
                     44,                 1.9781,                 1.8689,                 2.0466,                0.47262,                0.44985,                0.41684,                0.20384,                 1.7665,                 2.2109,                 1.9822,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.991,                 1.8714,                 2.0697,                 0.4335,                0.40432,                 0.3952,                0.18094,                 1.8258,                 1.9841,                 1.9843,               0.007822,               0.007822,               0.007822
                     46,                 1.9687,                 1.8705,                 2.0448,                0.53165,                0.41411,                0.45417,                  0.224,                 1.7896,                  1.798,                 1.9832,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.9824,                 1.8241,                  2.046,                0.45929,                0.44261,                 0.3973,                0.18773,                 1.8321,                 1.8828,                 2.0174,               0.007723,               0.007723,               0.007723
                     48,                 1.9162,                 1.8181,                 1.9979,                0.44189,                0.37809,                0.34792,                0.15877,                  1.983,                 1.9818,                  2.081,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.9523,                  1.747,                 2.0106,                 0.4448,                0.46789,                0.43102,                0.21689,                 1.8413,                 2.1385,                 2.0054,               0.007624,               0.007624,               0.007624
                     50,                 1.9202,                 1.8057,                 2.0816,                0.30811,                0.47438,                0.34523,                0.18074,                  1.792,                 2.2974,                 2.0737,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.9378,                 1.8771,                 2.0362,                0.45773,                0.46956,                0.41176,                 0.1934,                 1.8085,                 1.7786,                 2.0099,               0.007525,               0.007525,               0.007525
                     52,                 1.9615,                 1.7958,                 1.9677,                0.20782,                 0.3774,                0.22717,                0.10601,                 1.8277,                 3.3822,                 2.0153,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.9282,                 1.7604,                 1.9655,                0.45681,                0.37533,                0.40168,                  0.194,                 1.8368,                 1.8938,                 1.9631,               0.007426,               0.007426,               0.007426
                     54,                 1.9398,                 1.8071,                 1.9824,                0.38877,                0.45857,                 0.4154,                0.20533,                 1.7354,                 1.8057,                 1.9221,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.884,                  1.742,                 1.9528,                0.50732,                0.42302,                0.43763,                0.21021,                 1.7005,                   1.95,                 1.9194,               0.007327,               0.007327,               0.007327
                     56,                 1.9083,                 1.7974,                 1.9801,                0.49903,                0.42359,                0.42235,                0.19053,                 1.8042,                 1.9169,                 1.9658,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.9129,                 1.7925,                 2.0392,                0.38672,                0.40104,                0.36498,                0.17218,                 1.7305,                 2.3937,                 1.8937,               0.007228,               0.007228,               0.007228
                     58,                  1.927,                 1.8539,                 2.0103,                0.25635,                0.44619,                0.29003,                0.13977,                 1.7436,                 2.5631,                  1.926,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.906,                 1.8372,                 1.9772,                0.54226,                0.39432,                0.45199,                0.22316,                 1.7538,                 2.2128,                 1.9289,               0.007129,               0.007129,               0.007129
                     60,                 1.9016,                 1.7563,                  1.961,                0.56725,                0.42575,                0.47365,                0.24382,                  1.698,                 1.7652,                 1.9025,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.8517,                 1.7165,                 1.8941,                0.57778,                0.44897,                 0.5062,                0.25507,                 1.7437,                 1.7269,                 1.9006,                0.00703,                0.00703,                0.00703
                     62,                 1.8847,                 1.7548,                 1.9316,                0.46015,                0.44228,                0.43547,                0.22172,                    1.7,                 2.2542,                 1.8925,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.8568,                 1.6945,                 1.9482,                0.51215,                0.43136,                0.45758,                  0.235,                 1.7347,                 1.9598,                   1.97,               0.006931,               0.006931,               0.006931
                     64,                 1.8388,                 1.7158,                 1.9181,                0.55484,                0.44516,                0.49183,                 0.2425,                  1.726,                 1.7664,                 1.8756,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.827,                   1.64,                 1.9007,                0.55458,                0.53932,                0.52417,                0.25669,                 1.7046,                 1.6615,                 1.8924,               0.006832,               0.006832,               0.006832
                     66,                 1.8959,                 1.6981,                 1.8883,                0.47629,                0.49114,                0.50849,                0.26021,                 1.7048,                 1.6339,                 1.8705,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.8236,                 1.6781,                 1.8504,                0.55521,                0.47931,                0.51348,                0.26824,                 1.6654,                 1.5666,                 1.8383,               0.006733,               0.006733,               0.006733
                     68,                 1.8069,                 1.6937,                 1.8921,                0.50473,                0.41444,                0.45258,                0.23582,                 1.7238,                 1.9386,                 1.9172,              0.0066835,              0.0066835,              0.0066835
                     69,                   1.84,                 1.6761,                 1.8934,                0.65592,                0.43364,                 0.5335,                 0.2869,                 1.6293,                 1.5296,                 1.8132,               0.006634,               0.006634,               0.006634
                     70,                 1.8258,                 1.6059,                 1.8353,                0.54441,                0.39244,                0.45449,                0.23187,                 1.7581,                  1.748,                 1.8834,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.7925,                 1.6711,                  1.897,                0.57319,                0.47827,                0.52506,                0.27434,                 1.6458,                 1.5228,                 1.8299,               0.006535,               0.006535,               0.006535
                     72,                  1.824,                 1.7056,                 1.9173,                 0.2665,                0.40949,                0.32617,                0.17094,                 1.6877,                 2.5921,                 1.9237,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.802,                 1.6628,                 1.8749,                0.51451,                0.40612,                0.44921,                0.22776,                 1.6948,                 1.7764,                 1.8736,               0.006436,               0.006436,               0.006436
                     74,                  1.757,                 1.6125,                 1.8688,                 0.4958,                0.41228,                 0.4724,                0.24468,                    1.7,                 1.7211,                 1.8651,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.8288,                 1.7232,                 1.9168,                0.43396,                0.39422,                0.42784,                0.20479,                 1.7847,                 1.8601,                  1.918,               0.006337,               0.006337,               0.006337
                     76,                 1.7864,                 1.6682,                 1.8601,                 0.5657,                0.48982,                0.54774,                0.28942,                 1.6064,                 1.6329,                 1.7821,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.8217,                 1.6344,                 1.8606,                0.62902,                0.47311,                0.56532,                0.29158,                 1.6001,                 1.5862,                 1.7588,               0.006238,               0.006238,               0.006238
                     78,                 1.7939,                 1.5764,                 1.8221,                0.64118,                 0.4968,                0.56384,                0.29859,                 1.5821,                 1.5742,                 1.7684,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.732,                 1.5635,                 1.8476,                0.51616,                0.55155,                0.56898,                 0.2971,                 1.5717,                 1.5364,                 1.7521,               0.006139,               0.006139,               0.006139
                     80,                 1.7838,                  1.601,                 1.8701,                0.57207,                0.53124,                0.58401,                0.31196,                  1.606,                 1.5692,                 1.7741,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.7559,                  1.548,                  1.809,                0.54193,                0.48496,                0.52701,                 0.2827,                 1.5698,                 1.7225,                 1.7319,                0.00604,                0.00604,                0.00604
                     82,                 1.7215,                 1.5556,                 1.8165,                0.67107,                0.47444,                0.58184,                0.32235,                 1.5298,                 1.4889,                 1.6916,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.7481,                 1.5316,                 1.7775,                0.63892,                0.50681,                0.57346,                0.31438,                 1.5352,                 1.6315,                 1.7097,               0.005941,               0.005941,               0.005941
                     84,                 1.7117,                 1.5189,                 1.7684,                0.62626,                0.52277,                0.59416,                0.32869,                 1.5407,                 1.4647,                 1.7039,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.7457,                 1.5381,                 1.7823,                0.64005,                0.50539,                0.59055,                0.30796,                 1.6571,                 1.4199,                 1.7746,               0.005842,               0.005842,               0.005842
                     86,                   1.75,                 1.5451,                 1.8245,                  0.632,                0.49067,                0.57269,                0.30899,                 1.5617,                  1.619,                 1.7316,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.6943,                 1.4897,                  1.763,                0.62647,                0.46191,                0.55972,                 0.2958,                 1.6219,                 1.8631,                 1.7641,               0.005743,               0.005743,               0.005743
                     88,                 1.7253,                 1.5154,                 1.7785,                0.64369,                0.54612,                0.61896,                0.34892,                 1.4966,                 1.5445,                 1.6725,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.7224,                 1.5032,                 1.7675,                0.65965,                0.54697,                0.61654,                 0.3394,                 1.5196,                 1.4056,                 1.7099,               0.005644,               0.005644,               0.005644
                     90,                 1.7481,                 1.5386,                 1.7977,                0.68537,                0.52811,                0.62047,                0.33046,                 1.5754,                 1.4542,                  1.714,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.7064,                 1.4554,                 1.7317,                0.63414,                0.57782,                0.62716,                0.33591,                 1.5231,                 1.3861,                 1.6827,               0.005545,               0.005545,               0.005545
                     92,                 1.7164,                 1.4753,                  1.761,                0.67243,                0.56907,                0.63531,                0.33622,                 1.6669,                 1.3342,                  1.814,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.7004,                 1.4369,                  1.717,                0.69556,                0.54839,                0.64241,                0.36039,                 1.5025,                 1.3664,                 1.6868,               0.005446,               0.005446,               0.005446
                     94,                 1.7412,                 1.4576,                 1.7545,                0.72284,                0.52675,                0.64019,                0.34642,                 1.5554,                 1.4818,                 1.7837,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.6757,                 1.4558,                 1.7451,                0.63129,                0.57319,                0.63685,                0.35581,                 1.4845,                 1.3835,                 1.6711,               0.005347,               0.005347,               0.005347
                     96,                 1.6769,                 1.4367,                 1.7671,                0.47793,                 0.4821,                0.48299,                 0.2629,                 1.5594,                 2.0927,                 1.7546,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.7338,                 1.4501,                 1.7449,                0.66621,                0.56334,                0.64303,                0.35489,                 1.5226,                 1.3431,                 1.6756,               0.005248,               0.005248,               0.005248
                     98,                 1.7238,                 1.4495,                 1.7309,                0.72901,                0.55561,                0.65313,                0.36181,                 1.5265,                 1.2858,                 1.6993,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.7051,                 1.4171,                 1.7368,                 0.5868,                0.49868,                0.53761,                0.27219,                  1.698,                 1.3563,                 1.8148,               0.005149,               0.005149,               0.005149
                    100,                 1.7226,                 1.4428,                 1.7652,                0.61869,                0.63855,                0.67618,                0.37089,                 1.4781,                  1.268,                 1.6778,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.7421,                 1.4503,                 1.7361,                0.64921,                0.58805,                 0.6642,                0.36275,                 1.5402,                 1.3828,                 1.7276,                0.00505,                0.00505,                0.00505
                    102,                 1.6569,                 1.3634,                 1.7546,                0.71715,                0.60582,                0.70952,                0.40973,                 1.4391,                 1.1711,                 1.6507,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.6592,                 1.3883,                 1.7168,                0.56533,                0.54612,                0.56919,                0.31899,                 1.5094,                 1.6017,                 1.6689,               0.004951,               0.004951,               0.004951
                    104,                 1.7481,                 1.4369,                 1.7647,                0.67287,                0.56384,                0.66281,                0.35459,                 1.5566,                 1.4013,                 1.7073,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.638,                 1.3651,                 1.6997,                0.64878,                0.58577,                0.65331,                0.37153,                 1.4345,                 1.5234,                 1.6248,               0.004852,               0.004852,               0.004852
                    106,                 1.6521,                 1.3687,                 1.7254,                0.57945,                0.53114,                0.57371,                0.32392,                  1.463,                 1.6454,                 1.6341,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.6557,                 1.3558,                 1.7324,                0.65585,                0.59232,                 0.6461,                0.36307,                  1.435,                 1.2968,                 1.6163,               0.004753,               0.004753,               0.004753
                    108,                 1.6346,                 1.3738,                 1.7324,                0.74036,                0.61787,                0.71296,                0.40605,                 1.4379,                 1.1718,                 1.6364,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.6575,                 1.3716,                 1.7362,                0.77077,                0.60782,                0.72996,                 0.4095,                 1.4386,                 1.1773,                 1.6174,               0.004654,               0.004654,               0.004654
                    110,                 1.6518,                 1.3402,                 1.6486,                0.68733,                0.62787,                0.71054,                0.41315,                 1.4397,                 1.1841,                 1.6215,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.6137,                 1.3331,                 1.7143,                 0.6147,                 0.6038,                0.65573,                 0.3628,                 1.4648,                 1.5914,                 1.6688,               0.004555,               0.004555,               0.004555
                    112,                 1.6118,                 1.3757,                 1.7079,                0.73766,                0.58851,                0.69588,                0.38993,                 1.4574,                 1.1855,                 1.6266,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.6043,                 1.3325,                 1.7147,                0.72882,                 0.6031,                0.70965,                0.40934,                  1.428,                  1.129,                  1.633,               0.004456,               0.004456,               0.004456
                    114,                 1.6181,                  1.322,                 1.6975,                0.73772,                 0.5996,                0.69795,                 0.3937,                 1.4504,                 1.1748,                 1.6256,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.6268,                 1.3371,                 1.7129,                 0.6612,                0.63276,                0.64342,                0.36171,                 1.4663,                 1.3304,                 1.6459,               0.004357,               0.004357,               0.004357
                    116,                 1.6432,                 1.3427,                 1.7173,                  0.667,                0.51981,                0.64196,                0.35628,                 1.5002,                 1.4164,                 1.6618,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.6566,                 1.3301,                 1.7308,                0.68873,                0.60836,                0.72308,                0.42375,                 1.3992,                 1.2076,                  1.588,               0.004258,               0.004258,               0.004258
                    118,                  1.606,                 1.2866,                  1.638,                0.73091,                0.61206,                0.70217,                0.39874,                 1.4279,                 1.6081,                 1.6174,              0.0042085,              0.0042085,              0.0042085
                    119,                  1.567,                 1.3042,                 1.6573,                0.76744,                0.66867,                0.74227,                0.43559,                 1.3987,                 1.1897,                 1.5956,               0.004159,               0.004159,               0.004159
                    120,                 1.5841,                  1.299,                 1.6931,                0.73961,                 0.6389,                 0.7277,                0.41867,                 1.4711,                 1.1198,                 1.6652,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.6302,                  1.301,                 1.6853,                0.76135,                0.61373,                0.72719,                0.42642,                 1.4652,                 1.1075,                 1.6534,                0.00406,                0.00406,                0.00406
                    122,                 1.6412,                 1.3467,                 1.7178,                0.77238,                0.61714,                0.73243,                0.42792,                  1.428,                 1.1106,                 1.6056,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.5828,                 1.2524,                 1.6838,                0.74237,                0.64207,                0.73327,                0.43574,                 1.3955,                 1.0656,                 1.5939,               0.003961,               0.003961,               0.003961
                    124,                 1.5463,                  1.228,                 1.6402,                0.64319,                 0.5442,                0.59425,                0.33493,                 1.5739,                 1.4137,                 1.6837,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.6501,                 1.2821,                 1.6884,                0.69696,                0.61803,                0.67221,                0.38614,                 1.4292,                 1.3556,                 1.6308,               0.003862,               0.003862,               0.003862
                    126,                 1.6216,                 1.2694,                 1.6386,                0.74724,                0.64395,                0.73323,                0.41512,                 1.4755,                 1.1351,                 1.6503,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.5814,                 1.2615,                 1.6589,                0.74593,                0.65325,                0.76853,                0.45612,                 1.3892,                 1.0895,                 1.5905,               0.003763,               0.003763,               0.003763
                    128,                 1.6289,                 1.2776,                 1.6997,                0.72679,                0.55128,                  0.636,                0.36568,                 1.4836,                 1.3364,                 1.6554,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.5945,                 1.2709,                 1.6464,                0.77997,                0.64577,                0.74356,                0.41325,                 1.4429,                 1.1347,                 1.6263,               0.003664,               0.003664,               0.003664
                    130,                 1.6018,                 1.2802,                 1.6778,                0.73221,                0.63401,                 0.7299,                0.42886,                 1.4146,                 1.1244,                 1.6185,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.5423,                 1.2216,                 1.6252,                0.73933,                0.64639,                0.73387,                0.42791,                 1.4192,                 1.1179,                 1.5998,               0.003565,               0.003565,               0.003565
                    132,                 1.5564,                 1.2441,                 1.6584,                0.52011,                0.57045,                0.56484,                0.32489,                 1.5144,                 1.6736,                 1.6588,              0.0035155,              0.0035155,              0.0035155
                    133,                  1.564,                 1.2067,                 1.6513,                  0.674,                0.49939,                0.57895,                0.32839,                 1.6131,                 1.5163,                 1.7216,               0.003466,               0.003466,               0.003466
                    134,                 1.5655,                 1.2279,                  1.634,                0.79629,                0.66792,                0.77916,                0.46085,                 1.4129,                 1.0165,                 1.5856,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.5388,                  1.176,                 1.5992,                 0.8289,                0.64969,                0.77966,                0.46307,                 1.3991,                 1.0166,                 1.5892,               0.003367,               0.003367,               0.003367
                    136,                 1.5226,                 1.1936,                 1.6318,                0.71129,                0.67241,                0.74708,                0.45432,                 1.3399,                 1.1076,                 1.5515,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.5363,                 1.2016,                  1.626,                0.75447,                0.68593,                0.77467,                 0.4468,                 1.4134,                 1.0831,                 1.5818,               0.003268,               0.003268,               0.003268
                    138,                 1.5402,                 1.1684,                 1.6248,                0.80019,                0.65912,                0.79302,                0.47261,                 1.3394,                  1.028,                 1.5385,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.5048,                 1.1806,                 1.6547,                0.81971,                0.66105,                0.78847,                0.47264,                 1.3544,                0.97994,                 1.5569,               0.003169,               0.003169,               0.003169
                    140,                 1.5897,                 1.2143,                 1.6188,                0.72822,                0.62588,                0.70633,                0.41135,                  1.447,                 1.1753,                 1.6381,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.4901,                 1.1722,                  1.614,                 0.7056,                0.60549,                0.70579,                0.39692,                  1.509,                 1.1545,                 1.7141,                0.00307,                0.00307,                0.00307
                    142,                 1.5482,                 1.1897,                 1.6625,                0.76503,                0.68883,                0.78139,                 0.4536,                 1.3876,                 1.0042,                 1.5807,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.6019,                 1.2216,                 1.6564,                0.72361,                0.65473,                0.74559,                0.42314,                 1.4406,                 1.1121,                  1.612,               0.002971,               0.002971,               0.002971
                    144,                 1.4867,                  1.173,                 1.6065,                0.73629,                0.64969,                0.72492,                0.43604,                 1.4048,                  1.139,                 1.6124,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.5227,                 1.1685,                 1.6441,                0.81126,                0.65702,                0.78093,                0.47952,                 1.3398,                0.98833,                 1.5588,               0.002872,               0.002872,               0.002872
                    146,                 1.5174,                 1.1807,                 1.6127,                0.80008,                0.67995,                0.80272,                0.48207,                 1.3559,                0.97448,                 1.5392,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.5292,                 1.1832,                 1.6024,                0.79841,                0.68935,                0.79752,                0.48468,                 1.3315,                  1.031,                 1.5221,               0.002773,               0.002773,               0.002773
                    148,                 1.4809,                 1.1599,                 1.5991,                0.74662,                 0.6502,                0.74796,                0.45706,                 1.3283,                 1.1256,                 1.5253,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.5534,                 1.1979,                 1.6041,                0.73736,                0.63605,                0.73778,                0.43883,                 1.3961,                 1.0477,                 1.5716,               0.002674,               0.002674,               0.002674
                    150,                 1.5315,                 1.1646,                 1.5779,                0.80077,                0.65759,                0.78594,                0.47668,                 1.3305,                 1.0421,                 1.5271,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.5051,                 1.1483,                 1.6039,                 0.8033,                0.68065,                0.79144,                0.47815,                  1.317,                 1.0371,                 1.5114,               0.002575,               0.002575,               0.002575
                    152,                 1.4635,                  1.109,                 1.5652,                0.79733,                0.70201,                0.80059,                0.48828,                 1.3362,                0.98264,                 1.5252,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.5482,                 1.1411,                 1.5788,                0.79585,                0.68718,                0.80118,                0.48803,                 1.3162,                0.95374,                 1.5194,               0.002476,               0.002476,               0.002476
                    154,                 1.4622,                 1.0838,                 1.5737,                0.83363,                0.68578,                 0.8199,                0.49922,                 1.3463,                0.93561,                 1.5496,              0.0024265,              0.0024265,              0.0024265
