                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7018,                 3.5578,                 3.9539,                 0.0008,                0.20552,                0.00074,                 0.0003,                 3.3077,                 3.5695,                 3.3467,                 0.0847,                 0.0017,                 0.0017
                      2,                  3.634,                 2.7238,                 3.1367,                0.00067,                 0.0601,                0.00037,                0.00011,                 3.9672,                 3.8269,                 6.0434,               0.068483,              0.0034827,              0.0034827
                      3,                 3.2094,                 2.5202,                 2.9178,                0.00076,                0.14727,                0.00076,                0.00036,                 4.0246,                    inf,                 507.09,               0.052248,              0.0052475,              0.0052475
                      4,                 3.0769,                 2.4454,                 2.8326,                0.00154,                   0.12,                0.00113,                0.00067,                 3.9186,                    inf,                 1290.7,               0.035995,              0.0069946,              0.0069946
                      5,                 2.8803,                 2.3839,                 2.7522,                0.00038,                0.11455,                0.00025,                 0.0001,                 3.6933,                    inf,                 325.26,               0.019724,              0.0087238,              0.0087238
                      6,                 2.7999,                 2.4361,                 2.7566,                0.00611,                0.27405,                0.00368,                0.00179,                  3.294,                    inf,                  67.06,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.5618,                 2.2946,                 2.6646,                0.11011,                0.21121,                0.02561,                0.01176,                 3.3224,                    inf,                 21.825,               0.009703,               0.009703,               0.009703
                      8,                 2.5762,                 2.3008,                 2.6674,                0.08869,                0.24734,                 0.0214,                0.00968,                 3.1651,                    inf,                 47.849,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.4456,                 2.2506,                 2.6345,                0.12539,                0.26734,                0.04692,                0.01899,                 2.9665,                    inf,                 32.431,               0.009604,               0.009604,               0.009604
                     10,                  2.445,                 2.2434,                 2.5883,                0.13867,                0.18405,                0.04969,                0.01753,                 3.0286,                 15.746,                 24.877,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.3898,                 2.2136,                 2.5082,                0.16831,                0.20565,                0.10512,                0.03617,                 2.4514,                 3.9623,                 3.0864,               0.009505,               0.009505,               0.009505
                     12,                 2.3369,                 2.1472,                 2.4899,                0.15128,                0.28839,                0.12702,                0.04485,                 2.2881,                 2.5936,                 2.6293,              0.0094555,              0.0094555,              0.0094555
                     13,                  2.307,                 2.1784,                 2.4342,                0.15515,                0.26976,                0.08287,                0.03201,                 2.2693,                 7.3942,                 2.7397,               0.009406,               0.009406,               0.009406
                     14,                 2.3163,                 2.1393,                 2.4007,                0.26756,                0.13016,                0.09109,                0.03824,                  2.521,                 3.6511,                 3.5459,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.2388,                 2.1137,                 2.3778,                 0.2683,                0.22671,                0.15184,                 0.0652,                 2.1025,                 2.9956,                 2.3937,               0.009307,               0.009307,               0.009307
                     16,                 2.2211,                 2.0819,                 2.3781,                0.22324,                0.24566,                0.15893,                0.05965,                 2.2177,                 3.3268,                  2.421,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.1886,                 2.0912,                 2.3251,                0.35621,                0.33717,                0.27129,                0.11194,                 2.0229,                  2.348,                 2.2916,               0.009208,               0.009208,               0.009208
                     18,                 2.1665,                 2.0109,                  2.275,                0.26967,                0.41147,                0.26666,                0.11065,                 2.0633,                  3.667,                 2.4161,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.2416,                 2.1009,                  2.344,                0.23867,                0.34217,                0.22647,                0.09916,                 1.9889,                  2.851,                 2.2904,               0.009109,               0.009109,               0.009109
                     20,                 2.1596,                 2.0816,                 2.2917,                0.35357,                0.37148,                0.27363,                0.11546,                 1.9455,                 2.6543,                 2.2694,              0.0090595,              0.0090595,              0.0090595
                     21,                 2.1858,                 2.0622,                 2.2834,                0.40264,                0.40605,                0.28905,                0.12924,                 1.8975,                 2.5595,                 2.2012,                0.00901,                0.00901,                0.00901
                     22,                 2.0738,                 1.9806,                 2.2449,                 0.4566,                0.35664,                0.31779,                0.13139,                 2.0255,                 2.5394,                 2.2858,              0.0089605,              0.0089605,              0.0089605
                     23,                 2.1328,                 1.9907,                 2.2655,                0.27575,                0.42976,                0.25823,                 0.1132,                 2.0759,                 3.3034,                 2.2743,               0.008911,               0.008911,               0.008911
                     24,                 2.1231,                 1.9497,                 2.2405,                0.34421,                0.36757,                0.29828,                0.13605,                 1.9882,                 2.6368,                 2.2035,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.0587,                 1.9958,                 2.3019,                0.22011,                0.33529,                0.21366,                0.10566,                 1.9519,                 2.6917,                 2.2246,               0.008812,               0.008812,               0.008812
                     26,                  2.091,                 2.0002,                 2.2195,                0.30226,                0.41002,                0.30485,                 0.1442,                 1.9465,                   2.34,                 2.2626,              0.0087625,              0.0087625,              0.0087625
